state,date,income_mean,income_median
Johor,2012-01-01,4658,3650
Johor,2014-01-01,6207,5197
Johor,2016-01-01,6928,5652
Johor,2019-01-01,8013,6427
Johor,2020-01-01,7264,5690
Johor,2022-01-01,8517,6879
Kedah,2012-01-01,3425,2633
Kedah,2014-01-01,4478,3451
Kedah,2016-01-01,4971,3811
Kedah,2019-01-01,5522,4325
Kedah,2020-01-01,5005,3829
Kedah,2022-01-01,5550,4402
Kelantan,2012-01-01,3168,2276
Kelantan,2014-01-01,3715,2716
Kelantan,2016-01-01,4214,3079
Kelantan,2019-01-01,4874,3563
Kelantan,2020-01-01,4411,3010
Kelantan,2022-01-01,4885,3614
Melaka,2012-01-01,4759,3923
Melaka,2014-01-01,6046,5029
Melaka,2016-01-01,6849,5588
Melaka,2019-01-01,7741,6054
Melaka,2020-01-01,7186,5447
Melaka,2022-01-01,8057,6210
Negeri Sembilan,2012-01-01,4576,3575
Negeri Sembilan,2014-01-01,5271,4128
Negeri Sembilan,2016-01-01,5887,4579
Negeri Sembilan,2019-01-01,6707,5005
Negeri Sembilan,2020-01-01,6184,4478
Negeri Sembilan,2022-01-01,6788,5226
Pahang,2012-01-01,3745,3067
Pahang,2014-01-01,4343,3389
Pahang,2016-01-01,5012,3979
Pahang,2019-01-01,5667,4440
Pahang,2020-01-01,5144,4033
Pahang,2022-01-01,5777,4753
Perak,2012-01-01,3548,2665
Perak,2014-01-01,4268,3451
Perak,2016-01-01,5065,4006
Perak,2019-01-01,5645,4273
Perak,2020-01-01,5081,3759
Perak,2022-01-01,5779,4494
Perlis,2012-01-01,3538,2387
Perlis,2014-01-01,4445,3500
Perlis,2016-01-01,4998,4204
Perlis,2019-01-01,5476,4594
Perlis,2020-01-01,4971,4043
Perlis,2022-01-01,5664,4713
Pulau Pinang,2012-01-01,5055,4039
Pulau Pinang,2014-01-01,5993,4702
Pulau Pinang,2016-01-01,6771,5409
Pulau Pinang,2019-01-01,7774,6169
Pulau Pinang,2020-01-01,6850,5474
Pulau Pinang,2022-01-01,8267,6502
Sabah,2012-01-01,4013,2860
Sabah,2014-01-01,4879,3745
Sabah,2016-01-01,5354,4110
Sabah,2019-01-01,5745,4235
Sabah,2020-01-01,5215,3773
Sabah,2022-01-01,6171,4577
Sarawak,2012-01-01,4293,3047
Sarawak,2014-01-01,4934,3778
Sarawak,2016-01-01,5387,4163
Sarawak,2019-01-01,5959,4544
Sarawak,2020-01-01,5087,3831
Sarawak,2022-01-01,6457,4978
Selangor,2012-01-01,7023,5353
Selangor,2014-01-01,8252,6214
Selangor,2016-01-01,9463,7225
Selangor,2019-01-01,10827,8210
Selangor,2020-01-01,9668,7300
Selangor,2022-01-01,12233,9983
Terengganu,2012-01-01,3967,3034
Terengganu,2014-01-01,4816,3777
Terengganu,2016-01-01,5776,4694
Terengganu,2019-01-01,6815,5545
Terengganu,2020-01-01,6051,4790
Terengganu,2022-01-01,7248,5878
W.P. Kuala Lumpur,2012-01-01,8586,5847
W.P. Kuala Lumpur,2014-01-01,10629,7620
W.P. Kuala Lumpur,2016-01-01,11692,9073
W.P. Kuala Lumpur,2019-01-01,13257,10549
W.P. Kuala Lumpur,2020-01-01,11728,9093
W.P. Kuala Lumpur,2022-01-01,13325,10234
W.P. Labuan,2012-01-01,6317,5063
W.P. Labuan,2014-01-01,7591,5684
W.P. Labuan,2016-01-01,8174,5928
W.P. Labuan,2019-01-01,8319,6726
W.P. Labuan,2020-01-01,7333,6126
W.P. Labuan,2022-01-01,8250,6904
W.P. Putrajaya,2012-01-01,8101,6486
W.P. Putrajaya,2014-01-01,10401,7512
W.P. Putrajaya,2016-01-01,11555,8275
W.P. Putrajaya,2019-01-01,12840,9983
W.P. Putrajaya,2020-01-01,12322,9743
W.P. Putrajaya,2022-01-01,13473,10056
